ESP_V (kV),V1,V2,run,R,Dp1,Dp2,Mobility (m2/s/V)
11.0,1502,3500,2,300.378125,45.211133,196.3102140483639,1.1296706e-07
11.0,1652,3500,2,189.983421,47.574886,196.3102140483639,1.02728405e-07
11.0,1802,3500,2,122.805942,49.844984,196.3102140483639,9.4191458e-08
11.0,1951,3500,2,68.256976,52.045355,196.3102140483639,8.6964523e-08
11.0,2101,3500,2,48.285159,54.172056,196.3102140483639,8.076755e-08
11.0,2251,3500,2,40.145046,56.237026,196.3102140483639,7.5395006e-08
11.0,2401,3500,2,28.242283,58.246453,196.3102140483639,7.0692631e-08
11.0,2550,3500,2,24.899136,60.205577,196.3102140483639,6.6542392e-08
11.0,2700,3500,2,22.163737,62.118885,196.3102140483639,6.2852437e-08
11.0,2850,3500,2,17.712768,63.984939,196.3102140483639,5.9550217e-08
11.0,3000,3500,2,14.287148,65.816925,196.3102140483639,5.6577669e-08
11.0,5,250,2,1.835195,2.447685,43.548602413525415,3.3946601e-05
11.0,154,250,2,2.002844,13.852126,43.548602413525415,1.096821e-06
11.0,304,250,2,3.094604,19.59787,43.548602413525415,5.57415458e-07
11.0,454,250,2,8.954082,24.094931,43.548602413525415,3.73655492e-07
11.0,604,250,2,37.304993,27.9457,43.548602413525415,2.81014912e-07
11.0,753,250,2,33.358841,31.377293,43.548602413525415,2.25184752e-07
11.0,903,250,2,10.331132,34.509366,43.548602413525415,1.87861657e-07
11.0,1053,250,2,8.065563,37.423201,43.548602413525415,1.6115168e-07
11.0,1203,250,2,8.665728,40.156354,43.548602413525415,1.41091444e-07
11.0,1352,250,2,7.049973,42.744274,43.548602413525415,1.25472561e-07
11.0,1502,250,2,7.878661,45.211133,43.548602413525415,1.1296706e-07
11.0,1652,250,2,6.357625,47.574886,43.548602413525415,1.02728405e-07
11.0,1802,250,2,5.410902,49.844984,43.548602413525415,9.4191458e-08
11.0,1951,250,2,4.186722,52.045355,43.548602413525415,8.6964523e-08
11.0,2101,250,2,3.429268,54.172056,43.548602413525415,8.076755e-08
11.0,2251,250,2,2.691208,56.237026,43.548602413525415,7.5395006e-08
11.0,2401,250,2,2.13521,58.246453,43.548602413525415,7.0692631e-08
11.0,2550,250,2,2.005646,60.205577,43.548602413525415,6.6542392e-08
11.0,2700,250,2,1.964688,62.118885,43.548602413525415,6.2852437e-08
11.0,2850,250,2,1.840069,63.984939,43.548602413525415,5.9550217e-08
11.0,3000,250,2,1.736358,65.816925,43.548602413525415,5.6577669e-08
11.0,5,750,3,2.134211,2.447685,78.68725279369392,3.3946601e-05
11.0,154,750,3,1.78395,13.852126,78.68725279369392,1.096821e-06
